Gene,Corrected P-value,Log2 Fold Change
C4BPA,9.7451e-16,-6.8812
ERN1,8.8301e-12,-0.9979
LHX6,5.4968e-05,-0.9923
FBN2,2.1675e-08,3.1317
CARM1,3.1198e-15,0.9370
SIM2,8.9209e-10,2.6959
ETS1,2.0115e-13,-1.9480
GALNT3,4.8502e-07,0.6824
SRSF5,1.0125e-12,-0.7585
UQCC2,4.0613e-12,0.9807
AADAT,7.6942e-05,-0.7434
AMTN,8.1442e-07,5.0117
ATP2A3,6.7141e-09,-1.3729
PPAPDC3,6.5196e-08,-1.1870
PLXND1,1.0383e-13,-1.3243
CRYAB,6.5505e-03,-0.8718
CRY2,1.0570e-15,-1.7822
LRP1,3.0774e-09,-1.0001
BTD,1.4073e-15,-1.2928
FAM189A1,7.1470e-14,-4.3797
KRT86,2.6993e-03,0.9156
SLC44A5,3.7859e-13,2.8533
WDYHV1,3.2671e-14,0.9915
TMED5,2.0354e-14,-0.9453
MXD3,3.3776e-06,0.7913
MESP2,1.8303e-07,2.5215
RAB20,1.1417e-13,-1.5614
CD1D,3.3108e-10,-1.4731
SPATA18,1.8615e-12,-2.4412
PAK2,2.9394e-12,0.8585
IQGAP2,2.6802e-12,-1.6773
IRG1,4.0059e-03,-1.2285
TNIK,2.8513e-10,-1.4789
ARHGEF12,6.5232e-10,-0.7015
MAB21L1,2.8205e-05,-7.3423
SAMD3,4.1481e-09,-1.8576
PAX8,5.2644e-05,-1.2322
C22orf34,1.9511e-12,-2.1666
GDA,1.1428e-08,3.0997
TMTC3,2.2085e-13,1.4091
KISS1R,1.1401e-12,10.9287
MT-ND4,1.8044e-05,-0.6102
RRM2,2.7062e-15,3.9291
FMO1,1.8200e-04,1.5751
WBP1L,5.6127e-12,-0.6981
MAPK6,1.2324e-14,1.2924
TRMT10C,9.3812e-09,0.7493
IFI16,6.8520e-09,0.7634
S100A10,4.2305e-06,-0.7271
PDZK1IP1,5.9840e-05,-1.3695
GPER1,2.4569e-14,-3.0337
ADHFE1,5.8963e-14,-2.0651
GRAP2,6.2818e-11,-1.7353
AOAH,4.3655e-06,-1.1205
KDR,2.9666e-14,-2.4799
JUND,5.1157e-14,-1.8418
KCTD12,9.7451e-16,-2.0866
CEP85,1.0011e-14,1.1837
SLC25A30,9.8000e-15,-1.1386
C9orf139,1.8200e-04,-3.4548
RP11-57H12.6,7.8513e-06,-8.2007
PRMT5,1.3771e-10,0.7064
EXOSC4,2.7720e-14,1.0271
ADH1A,6.9794e-14,-10.2028
PNKD,1.3558e-09,-0.6531
LMOD3,1.1368e-15,-5.7845
COL24A1,3.5695e-05,1.0296
EXOC6,5.2360e-14,-1.3188
ZNF286A,2.7911e-10,0.7743
COA6,9.0265e-13,1.2436
TMEM178A,9.2496e-13,-3.0613
PLAU,6.5979e-12,2.1503
FAM110B,1.6325e-06,-1.1192
CDO1,2.0830e-14,-3.9016
RIMS2,1.0866e-10,4.2217
KLHL10,6.4072e-07,-3.8662
MISP,2.5085e-10,-1.7579
ATP1B2,3.5708e-15,-2.8120
A4GALT,1.5783e-05,0.8200
MEOX2,1.6180e-12,-2.5933
RP11-108K14.8,1.5319e-05,9.2774
ZNF90,5.4650e-06,-1.3209
MSH6,8.9218e-15,1.3955
SLC45A2,3.2869e-02,1.1351
MAT2B,1.7844e-10,-0.6530
ACAP2,2.8719e-06,0.7295
OLA1,1.5158e-14,1.1779
RAB31,3.6093e-09,-0.9378
C3,1.0627e-13,-2.2146
IKBKE,4.0672e-09,1.0771
MRPS26,8.1874e-09,0.7997
CXorf65,1.0411e-05,-3.0342
PSRC1,4.1673e-15,1.6536
ZNF19,1.9064e-12,-1.3233
DNAJC21,7.9956e-11,0.6685
SYNGR4,5.1560e-10,9.7239
MCMDC2,1.7483e-04,0.6597
KLHL29,8.8443e-09,-1.3122
TAOK2,3.1871e-14,-0.9700
GCNT6,2.9085e-02,-3.0751
SFTPD,9.7451e-16,-6.2496
MGST1,5.9832e-03,-0.7798
RBM43,8.0053e-08,-0.7885
CDCA5,1.1253e-15,3.9390
ZNFX1,3.1310e-13,-1.0773
SPATA6,2.5341e-13,-1.4921
PLA2G4C,5.7682e-13,-1.6981
GULP1,1.0735e-02,-0.7561
GEMIN2,3.1094e-10,0.7209
PGAP1,3.8424e-06,0.8700
LIMS3L,1.2652e-04,-0.7098
ZFAND5,3.8433e-08,-0.6852
SDR9C7,3.2671e-14,14.6775
FANCD2,1.4346e-15,2.0273
KLF4,8.1874e-09,-1.5413
TIFAB,2.7661e-02,-1.3898
ZNF217,2.8068e-12,1.0133
ATG4D,3.3124e-11,0.7700
CCDC40,1.3684e-07,-1.3950
BEND6,5.5094e-13,1.8681
PFDN5,1.7014e-09,-0.6050
PIH1D2,8.6182e-08,-1.4293
DSTN,4.4747e-13,-0.8333
ADAMTS1,1.9447e-10,-2.0609
PRKX,2.3703e-11,1.3282
AGBL1,1.0426e-15,-15.9421
PARVB,8.9530e-03,-0.5914
ABCA13,4.3274e-04,1.4917
DSP,9.7451e-16,3.9852
FOXN4,2.3414e-02,-5.8278
SCP2,1.2728e-11,-0.6995
CYP4X1,7.7297e-06,-1.5265
SULT1A3,1.7036e-11,-1.5071
MALL,6.5715e-11,-1.8483
NOX1,1.5095e-02,-4.0538
ADRA1A,1.3206e-14,-14.6758
FUT2,1.0099e-09,1.9617
TXNIP,6.3153e-15,-2.2124
CDC20B,5.7497e-03,-0.9895
UBE2S,9.7451e-16,2.4995
DCLK2,2.4869e-07,-1.0918
UBASH3B,4.8056e-13,-2.1662
CCDC176,4.3162e-09,-1.0889
CCDC170,5.7682e-13,-3.1419
FAM124B,1.7000e-14,-2.6612
HIST2H4B,1.3977e-05,5.8323
WDR65,1.9661e-07,-2.4350
STMN4,2.2632e-02,3.7842
CHDC2,4.0614e-04,-5.1665
NRL,2.0397e-12,-1.0632
FGF14,1.5879e-13,-2.4619
NIF3L1,1.3344e-08,0.7069
SUV39H1,2.0115e-13,1.1371
SERPINB2,2.0019e-07,2.7992
RGS2,2.4189e-11,-1.8152
CENPW,9.7451e-16,2.6676
SRRM3,1.7472e-13,2.9661
PTPRD,1.0285e-03,-0.9729
FCGR1A,9.6755e-13,-1.9444
CATSPER1,4.7759e-14,-2.4347
FOXD4,1.0596e-04,-3.5469
GTF2IRD1,1.9971e-14,1.2771
PSMD7,2.7843e-13,0.6197
SKAP1,3.5283e-03,-0.7247
HMGCS2,1.2104e-10,-13.3612
RERG,2.4565e-10,-1.8489
ACSL1,3.6216e-12,-1.3271
BNC2,7.1455e-06,-1.1167
FAT3,1.8303e-07,-2.4674
PARP4,2.2684e-11,-0.8613
DLC1,9.7451e-16,-4.0770
IGDCC4,1.7532e-03,0.9237
CD300E,8.8301e-12,-2.3681
FMOD,9.2446e-05,-0.9015
UGT8,9.3741e-05,1.4609
ZNF677,6.9198e-06,-1.3072
PCSK5,1.2354e-05,-0.9971
SFTPB,9.7451e-16,-6.3302
TMEM50B,5.4800e-14,-1.1060
GPR162,2.9394e-12,-1.9820
IRF8,6.3153e-15,-2.3197
KLRF1,1.9224e-13,-3.5136
RHOD,1.9661e-07,0.9967
CDH1,8.2163e-10,0.9558
GET4,6.9431e-10,0.6514
LRRFIP1,9.7451e-16,-1.4747
IGFBP4,1.2592e-08,-0.8734
CD81,1.2239e-15,-1.2509
WFDC10B,2.1888e-04,-4.7507
ADCY6,1.5466e-12,-1.2301
GPSM3,4.6634e-15,-1.8763
ARRDC5,3.8433e-08,-3.3879
RP11-93B14.6,2.4935e-04,-5.8859
PAK1,1.1881e-15,1.5598
PCDHB15,3.7554e-09,-1.2310
IGF1R,5.7176e-08,0.8523
C2orf27A,8.1442e-07,0.9798
LDHD,1.9852e-10,-1.6871
SLC9A3R1,2.9237e-13,1.7705
ACYP2,3.2993e-08,-0.6063
ITLN1,8.8127e-14,-8.8717
NFAT5,6.9925e-09,-0.8304
TRPM3,1.3289e-02,-6.8445
PFKFB4,2.3163e-06,0.6526
ARHGAP9,2.1594e-10,-1.4058
RUNDC3B,1.4150e-08,-2.7005
CCNA2,9.9797e-16,3.7826
TAGAP,1.0822e-11,-1.8870
C1QTNF2,1.5073e-15,-2.8659
ZNF106,6.1945e-15,-1.2447
PBXIP1,6.0124e-12,-0.9872
SLCO2A1,6.3379e-14,-3.0902
LCK,2.3435e-03,-0.8707
RAB19,6.2704e-04,-1.9781
LRRK2,9.7757e-16,-4.5661
KCNQ5,5.2962e-08,2.1340
C4orf32,9.7451e-16,-1.9776
DRD4,7.6071e-06,1.0433
CSF3,7.3223e-11,-5.9397
FDCSP,2.9556e-02,3.9887
EGFL8,5.6389e-06,-0.8597
KLRC2,1.7723e-03,-3.1379
FAM3D,5.1916e-05,-1.3720
DPY19L2,7.5959e-03,-0.6083
CST7,6.2818e-11,-1.9051
CKB,1.7268e-05,-1.1519
MOB1B,4.0672e-09,-0.6901
GPR115,4.2457e-14,5.7194
KLHL3,1.3098e-08,-0.9913
NIM1,7.1653e-11,-2.4150
PHF13,1.7379e-09,0.7062
LECT1,2.2056e-02,-7.4399
GRAPL,5.3540e-14,-3.0442
UCN3,2.1239e-11,-13.9969
RANBP3L,1.5879e-13,-2.9168
GPR161,1.2251e-07,0.9088
HRASLS,2.3531e-10,2.9134
ATP5J2,1.1600e-10,0.6656
C17orf75,4.6412e-10,0.8998
DHCR7,7.2280e-07,0.8178
R3HDM1,2.3781e-15,1.1201
ARHGAP32,2.2777e-06,0.6888
L3MBTL4,5.4183e-04,-0.9505
FOLR3,2.1864e-12,-4.4517
IL10,6.7821e-05,-1.0506
MAOB,1.4073e-15,-2.6008
QKI,4.5830e-13,-1.1465
ANP32E,7.8245e-11,0.8224
EGR1,1.1884e-08,-1.9444
TSNAXIP1,2.0759e-07,-1.7886
PLEKHN1,1.0881e-12,2.2615
CAPN9,2.2105e-15,-6.2945
KIF27,3.2687e-05,-0.5961
APCDD1,2.8383e-04,-0.7119
VNN1,1.3783e-03,-1.0067
ASAH2,2.3991e-04,0.6100
GCGR,1.0345e-06,11.2432
MZT1,1.1653e-08,0.8287
OSR1,6.8178e-13,-2.4338
ZNF582,2.0714e-10,-1.3533
MSH4,1.8061e-02,-3.9466
HMBOX1,3.1310e-13,-1.0851
CENPI,9.7451e-16,3.3154
PLCL2,1.4065e-12,-1.6275
ACTR1A,4.9181e-13,-0.6214
C11orf70,1.1659e-06,-1.5572
MPEG1,8.4178e-13,-2.0476
DNAJC15,5.7254e-06,-0.9361
ZNF709,9.6595e-07,-0.7195
FAM184A,3.3344e-15,-3.2477
ESPN,1.6688e-11,2.8751
RS1,9.7451e-16,-15.2963
AC011551.3,3.4759e-02,-5.2679
PARP14,3.4003e-09,-0.7940
CTSH,1.7577e-15,-2.9777
FRMD1,7.5205e-03,-5.0159
MSX2,8.8779e-07,1.1869
ALDH3B2,6.9794e-14,3.9757
IFFO1,1.1072e-11,-1.6317
TMEM133,2.5341e-13,-1.3643
CLEC9A,2.0605e-13,-4.1932
CD63,3.7707e-14,-1.0142
CSF2RB,1.9447e-10,-1.8623
CLDN20,1.8532e-03,1.2265
TMEM140,3.2787e-13,-1.2252
HCFC2,1.0108e-11,-0.7363
BIVM-ERCC5,1.0047e-02,-1.8676
PCDHGA7,7.5543e-10,-1.2679
BCL2L2,3.2396e-11,-0.6944
PADI4,2.2897e-14,-3.8658
PCDHA3,1.4902e-11,-3.5942
ACYP1,3.3549e-07,0.7108
ACADM,2.7263e-08,-0.6017
ZNF770,1.1210e-08,0.7328
SCN7A,9.7451e-16,-5.2602
CPB1,2.4296e-04,-6.0414
RIPK1,6.0124e-12,-0.6712
TMPRSS6,1.2628e-10,-2.3432
SEMA3G,1.9873e-15,-3.4021
CENPJ,9.9532e-09,0.9448
C20orf85,2.9616e-11,-11.9116
DAPK2,1.4817e-15,-3.0341
PPM1J,1.1072e-11,1.4315
ALG5,1.8641e-10,-0.5984
MSI2,2.5819e-14,1.3486
RECQL5,1.0765e-09,0.6131
SLC35A1,2.1677e-15,-1.6304
KIF9,1.0627e-13,-1.2024
MAP3K19,9.6882e-10,-9.3691
ST6GALNAC1,3.2612e-02,-0.6523
C10orf107,5.3540e-14,-4.7315
FGF7,8.5274e-11,-2.1116
RP11-793H13.10,1.5551e-07,-1.1208
BAK1,5.2331e-12,0.7656
ASRGL1,8.8301e-12,-1.7250
F3,1.7035e-04,-1.0720
RAB9B,3.1135e-06,-0.8837
IP6K3,4.1751e-10,-3.2498
NCAPD2,9.7451e-16,1.9990
FCGR1B,2.8338e-14,-2.2582
DNAJC27,1.0781e-08,-0.7172
SLC26A9,8.3321e-15,-4.2857
BRINP2,7.1643e-03,-7.1457
CDT1,9.7451e-16,3.5891
APBA2,5.9108e-06,1.1718
CHRNA4,2.0991e-06,-10.8333
MPRIP,1.6180e-12,-0.8514
PCDHGA9,5.4963e-10,-1.5663
LGR4,2.1384e-12,1.8640
FTL,4.4493e-10,-1.1766
ANXA3,1.1253e-15,-2.8482
HTRA4,4.9758e-05,-1.2134
IGSF10,7.2390e-15,-3.2035
OR7D2,1.5283e-03,-5.3042
ZNF541,3.5256e-10,-1.9665
NAT2,3.1152e-08,-6.3150
NOD1,1.0040e-15,-1.3316
RSPH10B,2.9976e-08,-3.7844
ADAM29,1.9852e-10,-12.8626
TBX3,4.3554e-10,-1.3170
PRKCB,1.3746e-12,-1.9581
MLC1,2.2684e-11,-2.3175
COX4I2,1.1127e-15,-3.4039
TGFBR3L,9.2446e-05,3.2844
NTRK3,4.9181e-13,-2.8670
RBP2,4.2460e-15,-15.4411
IFI6,3.2092e-02,-0.5852
GNPNAT1,5.3526e-12,0.9578
GPHA2,1.2467e-02,-5.8954
RP11-863K10.7,8.9209e-10,-3.9735
SLC44A3,1.6273e-13,-1.4571
WIPF3,1.9187e-03,0.9817
KRBA2,1.8315e-05,-0.6188
CALCRL,1.6390e-15,-2.7381
GOLGA8O,2.1361e-09,-3.8311
SPTSSB,2.6190e-09,3.1761
FGF20,3.5312e-02,-5.9152
CCT5,1.0040e-15,1.5565
ATP8A2,1.9747e-05,-1.4819
KIAA0141,1.1368e-15,-1.0278
PAFAH2,8.2417e-12,-0.8704
CREBL2,4.2460e-15,-1.0240
S100A12,6.1195e-04,-1.5235
AKTIP,7.5502e-15,-0.9974
ZFP64,4.4479e-15,1.5230
GEM,1.0886e-06,-1.3137
ZC3HAV1L,9.6688e-14,1.7711
FOXF2,3.2363e-08,-1.2843
IFI27,7.3777e-05,-1.2194
NOP56,1.2891e-14,1.3834
WDR38,2.7815e-09,-8.0746
UNC119,6.2505e-10,0.7415
SYNE4,3.0652e-04,-1.3475
ITGB5,2.8719e-06,0.6343
INSC,2.3923e-12,-4.4161
NELFA,5.4811e-12,0.5977
HSD11B1,7.4852e-13,-2.0100
GABRP,2.3616e-02,1.0257
FGGY,1.7100e-10,-1.2640
PRDX4,5.2582e-11,0.8550
DDX49,7.3726e-12,0.7599
USH1G,1.9516e-14,14.7922
LYPD6,1.6219e-08,1.7113
KREMEN2,3.1198e-15,6.4974
FOXM1,9.9797e-16,4.6256
PCK1,4.6183e-02,-4.4804
ZNF534,1.3344e-08,-8.4841
DUSP26,2.9394e-12,-4.4491
CD36,7.8406e-14,-3.2605
ITGB6,1.2507e-12,-1.7366
TLX2,6.3021e-12,8.1369
GYS2,6.4861e-03,-5.6895
KIF12,3.4694e-09,-2.8593
CSPG5,3.2762e-03,-0.8703
SLC1A1,9.7451e-16,-4.1239
SF3B4,3.4941e-15,0.6979
PCF11,3.0774e-09,-0.7119
HAS1,6.6897e-05,-2.3544
GPR62,2.2441e-02,-2.4127
RAB11FIP2,2.7590e-15,-1.3097
MYLK2,5.8293e-04,2.1331
CSTF2,1.8594e-14,1.1609
MAST3,1.2214e-12,-1.0439
IDUA,5.0047e-08,-0.7636
SH2D3C,9.7451e-16,-3.1692
ZMYM6NB,2.8338e-14,-1.0832
TADA2B,6.0104e-11,-0.6127
BOP1,7.5502e-15,1.7756
C17orf89,7.8305e-13,0.9153
P2RX6,2.5795e-05,-1.7720
CLCF1,3.4904e-03,-0.7487
ENAH,1.9050e-10,1.0754
EPAS1,9.7451e-16,-3.3712
HLX,3.0687e-13,-1.7328
BOLA2B,2.0605e-13,1.1580
HCG27,4.7643e-05,-1.0579
EDEM1,3.2046e-13,-1.0559
NOP16,2.4308e-08,0.8044
MPPED1,1.4694e-04,4.5319
NSDHL,3.5368e-09,0.6648
HDHD3,4.8682e-09,0.6930
ZNF626,4.9374e-07,-1.4188
NEK11,4.2185e-04,-0.7276
NOC2L,8.6780e-09,0.7132
PCP4L1,3.0716e-03,-1.1265
S100A6,7.3551e-07,-0.8620
OSGIN2,3.7708e-08,-0.7467
SP140,7.5543e-10,-1.4357
KIAA1045,1.8538e-02,0.8837
LTB4R,6.0730e-09,1.3256
PRKDC,1.3947e-15,1.4409
COCH,3.4694e-09,2.6436
MYO18B,4.1343e-03,3.3725
HCN3,1.8122e-09,1.0193
AC131097.4,3.4545e-03,5.4828
SLC10A1,5.9759e-04,-5.5548
HOXD10,3.6216e-12,4.5903
GRK1,3.9631e-03,-5.0634
SULT4A1,5.9578e-09,2.3430
ZNF175,6.0056e-06,-0.6401
FIG4,3.5099e-14,-1.1843
PDE3B,2.0115e-13,-1.5338
MACF1,6.1981e-14,-1.3319
C22orf43,8.0451e-03,-2.6956
C10orf99,2.9152e-10,11.5959
NUP93,1.5018e-10,0.6146
MASP1,8.0328e-14,-3.2811
C4orf21,3.2396e-11,1.1924
TUBB3,2.5341e-13,3.2946
CIRH1A,7.5543e-10,0.7161
PABPC5,2.1239e-11,-1.8290
GABRQ,1.8766e-13,14.2687
LAMC2,1.2161e-05,1.3155
SEMA4C,6.7479e-07,0.6841
MTUS1,3.5595e-08,-0.8095
ZNF577,1.5021e-09,-0.9798
AC068987.1,4.7694e-09,3.3037
PIFO,6.9794e-14,-3.8007
WFIKKN2,1.8189e-12,-7.9958
PPP1R15A,2.7182e-13,-1.9211
DHRS11,1.4504e-06,0.6541
PPAN,1.0993e-09,0.7514
NSG1,4.3729e-05,1.4854
HAL,1.2112e-08,-1.5404
NCOR2,1.0345e-06,-0.5948
BPIFB2,1.2467e-02,-6.6703
SATB2,2.0045e-05,0.7149
FAM117B,3.2958e-07,1.0398
ANXA4,4.0603e-13,-0.7327
FBXO22,1.1208e-14,0.9454
CHRNA10,9.6383e-08,-1.2750
RTP1,3.1311e-02,3.4419
RHOU,9.0162e-14,-1.8948
PDK1,6.7683e-15,1.8314
CADM2,3.6767e-02,-1.1768
NDST3,4.5489e-02,-2.8942
DSG2,3.2660e-15,2.0793
BUB1B,1.1489e-15,4.2290
COX7A1,2.8210e-15,-2.5321
IFT140,7.7157e-12,-1.1146
TOR3A,1.4150e-08,0.6168
MYO19,9.7451e-16,1.7619
HRASLS2,1.0661e-03,-2.8805
SOX8,3.1054e-04,-0.6436
ZFYVE20,1.7577e-15,-0.8934
SMAD1,6.1917e-07,0.6460
SLC25A38,7.2108e-12,-0.5964
ZNF385D,2.3951e-06,-1.4006
TRIM50,7.1322e-09,-5.6775
RNF19A,2.0657e-05,-0.5868
NCAM1,2.3163e-06,-1.1807
C12orf39,4.0603e-13,-3.4521
INPP5K,9.7451e-16,-1.2983
LONRF3,1.9564e-15,-3.4019
BOLA2,3.0439e-10,2.1579
JMJD4,9.9532e-09,0.5944
BTC,3.5368e-09,-1.9116
PDZD9,1.2214e-12,-8.1164
TDRD7,1.5281e-07,-0.6638
PDF,5.2800e-09,0.8814
GPR174,4.0114e-04,-2.3611
PRKG1,5.2360e-14,-1.8247
CEACAM21,1.7000e-14,-2.9439
P2RX3,5.7497e-03,-6.2383
TPI1,1.4383e-15,1.4545
MARS,5.1157e-14,0.7404
RAET1L,1.4383e-15,17.5008
KANK4,1.3340e-05,-1.7375
RNASE3,1.5920e-04,-6.5475
IL6,6.9859e-07,-2.6813
TSKU,6.9794e-14,1.8505
SMIM1,5.3869e-07,-1.1261
TMC8,2.6210e-07,-0.9446
GAL3ST4,1.8118e-03,0.6403
MAGI2,7.0926e-10,-1.0043
GPM6A,9.7451e-16,-8.9801
AL591684.1,1.1905e-02,-6.0480
PROB1,6.1522e-05,0.8687
KIAA1549L,5.3540e-14,3.8117
TIGD1,3.2363e-08,0.9173
MT1E,3.5476e-06,-1.4168
IGF1,8.9188e-04,-1.1006
SPATA22,1.1150e-02,-4.2021
FCHSD2,2.8964e-11,-0.7614
IGF2BP2,2.7911e-10,1.8704
HBA2,1.0889e-15,-5.3342
EFS,2.8732e-12,1.3219
HLA-DPA1,2.1677e-15,-2.4740
XPR1,8.4156e-14,1.2026
LST1,1.8927e-15,-2.6367
AREGB,1.1253e-05,-7.0216
TFDP2,8.9243e-11,1.1753
CCHCR1,2.7258e-09,0.8765
HMBS,1.2993e-09,0.9700
LRRC58,9.7372e-11,0.7518
LY9,1.9460e-05,-1.1276
G3BP1,8.1874e-09,0.5916
PTPN13,1.1823e-04,-0.8531
BRINP1,1.7035e-04,-1.9784
SNCB,1.9642e-06,8.0281
QSOX1,2.6379e-14,-1.3369
FAM103A1,1.3318e-11,0.6234
HMMR,4.1673e-15,3.2353
STK24,4.3161e-11,0.7171
UPRT,2.2085e-13,-0.8079
SLC26A7,1.2125e-02,-1.5962
BCHE,1.2469e-06,-2.0009
RNF165,1.3340e-05,1.0775
MTMR14,3.5708e-15,-0.9244
AC016586.1,1.8303e-07,-1.8929
PRSS53,4.1776e-03,0.7868
SLC19A2,3.7708e-08,-1.0236
METTL25,2.8091e-07,-0.6103
CRYBB3,1.1260e-06,6.7590
MCM2,9.8352e-16,3.1820
C1orf131,1.6624e-14,1.0849
RILP,1.0426e-15,-2.0690
ZFP3,3.7708e-08,-0.9766
THOC5,7.1578e-08,0.5897
ANG,1.3532e-15,-2.1310
PSMD2,9.9797e-16,1.4893
NUDT16,6.1620e-08,-0.6942
KIF23,9.7451e-16,3.4526
AFF4,9.9532e-09,-0.6111
ZNF131,2.5186e-14,0.9560
PLCH2,2.8389e-09,2.2922
CNGA1,2.9202e-06,1.1730
GPR135,6.3003e-07,-0.8282
SPATA7,1.8500e-09,-0.7691
PTPRM,1.2396e-15,-2.4579
RP11-162A12.2,4.6412e-10,-1.7838
CTDSP1,1.3120e-12,-0.7436
KRT7,1.9688e-09,-2.9589
AMBP,3.2046e-13,-5.3287
PHACTR3,2.0304e-11,-2.8928
C14orf39,9.4833e-03,2.6121
KIFC1,1.0128e-15,3.4114
FAM171B,2.0768e-04,0.8849
CNTN4,8.6019e-14,-2.4602
NDC80,1.0889e-15,3.8261
ZEB1,2.2452e-15,-1.9436
GOLT1A,2.8738e-15,-4.3216
MT-ND6,7.6519e-13,-2.2725
MEF2D,3.5368e-09,-0.6009
SLC24A3,1.1428e-08,-1.2648
LEF1,1.7518e-05,0.9714
CRIPAK,8.6780e-09,-0.8301
TMPO,5.3779e-11,1.0223
IL4R,2.6015e-06,-0.9620
RIBC1,2.0086e-09,-1.9147
ARNTL2,2.8210e-15,3.1518
TDRD1,6.4533e-09,-13.1831
TRAIP,9.7451e-16,2.1628
RDM1,1.7789e-14,7.4632
RP11-10A14.4,1.5458e-03,1.0215
GYPE,1.2396e-15,-4.5751
RNF217,3.9215e-10,0.9861
EPB41L3,2.9394e-12,-1.8274
AKAP3,1.0534e-02,-0.6003
CTD-2547L24.3,8.6780e-09,-2.3782
CCDC42B,8.8443e-09,-4.2817
KIF20B,6.1945e-15,1.5887
ZNF33B,4.6412e-10,-0.9056
NKIRAS2,6.0124e-12,0.5865
SGMS2,3.3344e-15,-2.5532
CBLC,9.7451e-16,3.6409
NYAP2,7.2108e-12,-6.7271
AC024940.1,2.3026e-02,0.9222
LY6G5C,3.7859e-13,-1.3246
POLR3GL,2.7182e-13,-0.8527
THOP1,1.2891e-14,0.9898
SLC9A2,2.1674e-06,1.8290
C1orf35,5.8621e-10,0.7315
TMEM35,2.9669e-06,-1.6927
DEPDC4,7.5703e-09,1.0592
TDGF1,2.6210e-07,-7.7917
WDR52,9.7818e-06,-1.0838
F8,1.9564e-15,-2.1935
SCIMP,2.5303e-15,-3.1255
ZDHHC13,9.5296e-11,0.9065
MNAT1,3.0827e-12,0.7330
ACTR3,6.7141e-09,0.6336
NUBP1,1.8342e-13,-0.5952
FBXO38,3.7359e-15,-0.8068
ATAD5,1.1127e-15,2.2266
RAP1A,9.7451e-16,-1.0315
XAGE1A,9.7572e-05,-8.2411
SPRR1B,1.9943e-12,9.4499
VWA2,1.3098e-08,-1.6411
SIX3,9.9253e-04,2.6483
CLIC2,1.9564e-15,-2.5356
ERVMER34-1,2.5648e-12,2.3357
TCEAL3,9.6882e-10,-0.9128
SNRPD2,1.0125e-12,0.8263
RAPGEF4,4.7759e-14,-1.8884
TRIM23,8.3843e-10,-0.7159
GOLGA8T,1.3365e-04,-4.6380
RP11-192H23.4,2.9097e-07,0.8324
CCL7,8.0451e-03,2.8059
KLK13,1.2014e-02,0.6650
FRRS1,1.0394e-10,1.3960
CCDC65,1.2507e-12,-2.6720
FGFBP2,6.1936e-04,-1.6599
SLC5A4,1.1368e-15,-5.3126
ADAMTSL3,1.5869e-14,-3.3796
APOC2,1.2199e-09,-2.3531
HSFX2,4.8746e-03,-1.9953
ZNF208,5.8797e-11,-4.6650
RND1,2.8326e-11,-3.6400
SAPCD2,9.9797e-16,4.3321
FAM214B,2.2031e-06,-0.6043
DPH3,8.1647e-11,-0.7243
NUP62,1.6273e-13,0.8233
MRRF,2.3399e-08,0.6051
MYO1A,3.6281e-08,-1.6439
ZYG11A,2.3781e-15,8.1965
TIMP2,7.6517e-11,-1.3083
MRM1,1.9849e-11,0.9451
SDC3,1.5319e-05,-0.7160
VAMP5,9.9797e-16,-2.0113
SULT1A4,2.2085e-13,-1.6091
AL163636.6,9.7451e-16,-4.8141
ZBTB39,3.0683e-07,0.5952
FAM49A,9.0302e-12,-1.3465
RIMS1,2.3028e-10,-4.2221
TNF,9.7645e-03,-0.9109
SNURF,2.1340e-14,-12.9186
MACC1,1.3470e-10,-1.5099
HHIP,1.0889e-15,-5.9808
RAD54L,1.0128e-15,3.7405
CDS1,3.7216e-06,-0.7358
PTGFRN,1.5143e-13,2.0747
AP000783.1,3.8672e-07,-1.7842
PRKAB2,4.5588e-08,0.6969
MEFV,1.6971e-12,-2.3588
RNASE2,1.4295e-02,-0.7731
TYSND1,5.0506e-10,0.8509
EPHA1,3.4557e-12,1.2349
SLC6A20,4.0636e-15,-5.3455
CD226,9.0302e-12,-1.7299
SIDT2,1.0128e-15,-1.5447
ULK2,6.7141e-09,-0.8561
C5orf34,1.3220e-15,2.2104
LIMCH1,9.7451e-16,-3.6804
ANKDD1B,1.7063e-13,-3.0939
KCNA5,4.7759e-14,-5.4999
FABP7,1.3548e-04,4.8182
CLDN14,5.5503e-06,2.6564
DOCK9,5.3526e-12,-1.2212
ATP1B3,1.3446e-07,1.0526
CD38,1.0741e-04,-1.0412
SPC25,1.2239e-15,3.6531
EFEMP1,2.4284e-15,-2.5288
TMEM200A,1.6512e-05,-0.9856
SHROOM2,1.6263e-05,0.6357
ABHD6,1.1662e-12,-1.4137
STX12,9.7451e-16,-1.4462
HHLA2,4.9182e-11,-3.2785
MCOLN2,8.1482e-08,-1.1072
AKAP11,6.5715e-11,-0.8517
RBM47,3.7070e-12,-1.0268
CYP1B1,9.5783e-03,-0.7101
CENPP,3.7005e-13,1.3752
HSPA4L,1.1937e-12,1.6892
NRIP2,5.9578e-09,-1.0234
SUV39H2,1.1572e-15,1.7275
MORN3,3.3937e-02,-0.6925
DMC1,1.1587e-07,1.7458
FGD4,1.9564e-15,-1.5970
PHF6,3.9554e-11,0.8940
C21orf119,1.2151e-04,0.5911
TLDC2,2.1334e-06,-1.0096
