Gene,Corrected P-value,Log2 Fold Change
WDR65,7.1940e-07,-2.4350
STMN4,4.0412e-03,3.7842
CHDC2,8.0884e-04,-5.1665
NRL,3.1763e-13,-1.0632
FGF14,8.0370e-11,-2.4619
NIF3L1,4.9436e-12,0.7069
SUV39H1,4.2014e-14,1.1371
SERPINB2,8.9243e-09,2.7992
RGS2,1.0198e-10,-1.8152
CENPW,3.0936e-14,2.6676
SRRM3,3.1763e-13,2.9661
PTPRD,3.4470e-02,-0.9729
FCGR1A,1.6672e-11,-1.9444
CATSPER1,8.0370e-11,-2.4347
FOXD4,3.7044e-04,-3.5469
GTF2IRD1,3.0936e-14,1.2771
PSMD7,8.1821e-09,0.6197
HMGCS2,1.7293e-08,-13.3612
RERG,1.7606e-06,-1.8489
ACSL1,2.8252e-10,-1.3271
BNC2,1.9463e-05,-1.1167
FAT3,1.0301e-04,-2.4674
PARP4,1.2955e-10,-0.8613
DLC1,3.0936e-14,-4.0770
IGDCC4,1.3281e-02,0.9237
CD300E,3.1763e-13,-2.3681
FMOD,2.6496e-04,-0.9015
UGT8,1.3325e-07,1.4609
ZNF677,3.2494e-04,-1.3072
PCSK5,9.4137e-05,-0.9971
SFTPB,3.0936e-14,-6.3302
TMEM50B,1.1014e-13,-1.1060
GPR162,5.3500e-10,-1.9820
IRF8,4.2014e-14,-2.3197
KLRF1,1.4748e-13,-3.5136
RHOD,4.0995e-08,0.9967
CDH1,3.8969e-10,0.9558
GET4,5.5493e-11,0.6514
LRRFIP1,3.0936e-14,-1.4747
IGFBP4,5.2041e-07,-0.8734
CD81,5.7021e-14,-1.2509
WFDC10B,6.1443e-03,-4.7507
ADCY6,2.8969e-11,-1.2301
GPSM3,4.2014e-14,-1.8763
ARRDC5,2.0332e-07,-3.3879
RP11-93B14.6,1.3281e-02,-5.8859
PAK1,3.0936e-14,1.5598
PCDHB15,6.4294e-06,-1.2310
IGF1R,1.4524e-10,0.8523
C2orf27A,4.4254e-08,0.9798
LDHD,4.3299e-10,-1.6871
SLC9A3R1,4.0519e-13,1.7705
ACYP2,2.5735e-06,-0.6063
ITLN1,4.0519e-13,-8.8717
NFAT5,6.0155e-07,-0.8304
PFKFB4,1.0506e-06,0.6526
ARHGAP9,1.2955e-10,-1.4058
RUNDC3B,4.2797e-07,-2.7005
CCNA2,4.2014e-14,3.7826
TAGAP,1.9102e-11,-1.8870
C1QTNF2,4.2014e-14,-2.8659
ZNF106,1.1014e-13,-1.2447
PBXIP1,7.9695e-12,-0.9872
SLCO2A1,1.2100e-09,-3.0902
LCK,2.2918e-02,-0.8707
RAB19,1.2737e-03,-1.9781
LRRK2,3.0936e-14,-4.5661
KCNQ5,1.4701e-08,2.1340
C4orf32,3.0936e-14,-1.9776
DRD4,4.3466e-06,1.0433
CSF3,1.2100e-09,-5.9397
FDCSP,1.7451e-02,3.9887
EGFL8,4.8775e-07,-0.8597
KLRC2,3.0876e-03,-3.1379
FAM3D,2.3732e-03,-1.3720
CST7,1.1519e-10,-1.9051
CKB,7.8623e-05,-1.1519
MOB1B,3.2672e-08,-0.6901
GPR115,1.1720e-12,5.7194
ADAMTS4,5.4390e-03,-0.6285
KLHL3,1.7293e-08,-0.9913
NIM1,8.0971e-10,-2.4150
PHF13,6.9234e-09,0.7062
GRAPL,2.5219e-13,-3.0442
UCN3,6.9234e-09,-13.9969
RANBP3L,8.0370e-11,-2.9168
GPR161,2.5833e-08,0.9088
HRASLS,7.1148e-11,2.9134
ATP5J2,1.1470e-08,0.6656
C17orf75,1.2441e-11,0.8998
DHCR7,1.2426e-07,0.8178
R3HDM1,4.2014e-14,1.1201
ARHGAP32,1.5073e-05,0.6888
L3MBTL4,2.4112e-02,-0.9505
FOLR3,3.1721e-09,-4.4517
IL10,6.4294e-06,-1.0506
MAOB,3.0936e-14,-2.6008
QKI,2.5302e-11,-1.1465
ANP32E,1.4416e-11,0.8224
EGR1,1.0540e-08,-1.9444
TSNAXIP1,8.1491e-07,-1.7886
PLEKHN1,7.8227e-13,2.2615
CAPN9,3.0936e-14,-6.2945
KIF27,1.1013e-05,-0.5961
APCDD1,4.8364e-02,-0.7119
VNN1,7.5685e-03,-1.0067
ASAH2,8.0291e-05,0.6100
GCGR,1.4239e-05,11.2432
MZT1,2.5331e-10,0.8287
OSR1,1.9804e-09,-2.4338
ZNF582,2.6296e-09,-1.3533
HMBOX1,2.2702e-10,-1.0851
CENPI,3.0936e-14,3.3154
PLCL2,9.0527e-11,-1.6275
ACTR1A,3.4353e-09,-0.6214
C11orf70,5.7578e-06,-1.5572
MPEG1,7.8227e-13,-2.0476
DNAJC15,1.0438e-05,-0.9361
ZNF709,2.4465e-06,-0.7195
FAM184A,4.2014e-14,-3.2477
ESPN,2.5302e-11,2.8751
RS1,3.0936e-14,-15.2963
PARP14,1.1470e-08,-0.7940
CTSH,3.0936e-14,-2.9777
FRMD1,1.7927e-02,-5.0159
MSX2,1.0046e-07,1.1869
ALDH3B2,7.8227e-13,3.9757
IFFO1,4.1828e-12,-1.6317
TMEM133,6.2672e-11,-1.3643
CLEC9A,1.7262e-12,-4.1932
CD63,5.7021e-14,-1.0142
CSF2RB,2.1783e-07,-1.8623
CLDN20,1.2289e-04,1.2265
TMEM140,7.9695e-12,-1.2252
HCFC2,1.7262e-12,-0.7363
BIVM-ERCC5,2.5279e-02,-1.8676
PCDHGA7,1.5850e-05,-1.2679
BCL2L2,3.4996e-10,-0.6944
PADI4,3.1763e-13,-3.8658
PCDHA3,1.3325e-07,-3.5942
ACYP1,1.7965e-09,0.7108
ACADM,1.1568e-07,-0.6017
ZNF770,6.3487e-09,0.7328
SCN7A,3.0936e-14,-5.2602
CPB1,1.5751e-03,-6.0414
RIPK1,1.4614e-08,-0.6712
TMPRSS6,3.7859e-11,-2.3432
SEMA3G,3.0936e-14,-3.4021
CENPJ,5.3500e-10,0.9448
C20orf85,1.6130e-07,-11.9116
DAPK2,3.0936e-14,-3.0341
PPM1J,1.4524e-10,1.4315
ALG5,1.3546e-08,-0.5984
MSI2,2.0708e-12,1.3486
RECQL5,6.2672e-11,0.6131
SLC35A1,3.0936e-14,-1.6304
KIF9,3.8196e-09,-1.2024
MAP3K19,5.3388e-09,-9.3691
C10orf107,3.1763e-13,-4.7315
FGF7,6.8266e-12,-2.1116
RP11-793H13.10,4.4935e-09,-1.1208
BAK1,6.2741e-08,0.7656
ASRGL1,2.8611e-07,-1.7250
F3,2.9897e-03,-1.0720
RAB9B,2.2188e-03,-0.8837
IP6K3,2.9174e-06,-3.2498
NCAPD2,4.2014e-14,1.9990
FCGR1B,5.0878e-13,-2.2582
DNAJC27,4.1153e-09,-0.7172
SLC26A9,1.4314e-12,-4.2857
CDT1,3.0936e-14,3.5891
APBA2,3.7506e-07,1.1718
CHRNA4,1.5307e-04,-10.8333
MPRIP,3.3037e-08,-0.8514
PCDHGA9,1.0046e-07,-1.5663
LGR4,2.4798e-12,1.8640
FTL,3.2672e-08,-1.1766
ANXA3,3.0936e-14,-2.8482
HTRA4,1.0646e-03,-1.2134
IGSF10,5.7021e-14,-3.2035
OR7D2,2.7918e-02,-5.3042
ZNF541,4.2933e-05,-1.9665
NAT2,1.6497e-07,-6.3150
NOD1,3.0936e-14,-1.3316
RSPH10B,3.2672e-08,-3.7844
ADAM29,5.3388e-09,-12.8626
TBX3,6.4611e-08,-1.3170
PRKCB,4.8865e-11,-1.9581
MLC1,2.7990e-08,-2.3175
COX4I2,4.2014e-14,-3.4039
TGFBR3L,1.7575e-05,3.2844
NTRK3,6.4611e-08,-2.8670
RBP2,3.0936e-14,-15.4411
GNPNAT1,4.3060e-11,0.9578
RP11-863K10.7,2.5267e-08,-3.9735
SLC44A3,1.9452e-13,-1.4571
WIPF3,1.1919e-04,0.9817
KRBA2,2.5028e-05,-0.6188
CALCRL,3.0936e-14,-2.7381
GOLGA8O,9.0527e-11,-3.8311
SPTSSB,1.4779e-09,3.1761
GLIPR1L1,3.6383e-02,-1.9359
CCT5,3.0936e-14,1.5565
ATP8A2,3.9640e-04,-1.4819
KIAA0141,3.0936e-14,-1.0278
PAFAH2,1.9102e-11,-0.8704
CREBL2,8.3894e-14,-1.0240
S100A12,4.7329e-02,-1.5235
AKTIP,3.0936e-14,-0.9974
ZFP64,8.3894e-14,1.5230
GEM,2.7640e-05,-1.3137
ZC3HAV1L,5.0878e-13,1.7711
FOXF2,1.7965e-09,-1.2843
IFI27,6.3317e-04,-1.2194
NOP56,1.4314e-12,1.3834
WDR38,1.0765e-07,-8.0746
UNC119,2.0837e-07,0.7415
SYNE4,5.1180e-03,-1.3475
ITGB5,7.6561e-07,0.6343
INSC,1.2100e-09,-4.4161
NELFA,1.3060e-08,0.5977
HSD11B1,1.1720e-12,-2.0100
GABRP,4.6487e-04,1.0257
FGGY,3.4468e-09,-1.2640
PRDX4,9.8641e-07,0.8550
DDX49,9.2357e-12,0.7599
USH1G,1.4748e-13,14.7922
LYPD6,1.3368e-09,1.7113
KREMEN2,5.7021e-14,6.4974
FOXM1,3.0936e-14,4.6256
ZNF534,3.1023e-06,-8.4841
DUSP26,1.7965e-09,-4.4491
CD36,8.3894e-14,-3.2605
ITGB6,1.9102e-11,-1.7366
TLX2,6.5141e-09,8.1369
KIF12,8.1491e-07,-2.8593
SLC1A1,3.0936e-14,-4.1239
SF3B4,1.1014e-13,0.6979
PCF11,8.1994e-09,-0.7119
HAS1,5.2041e-07,-2.3544
RAB11FIP2,4.0519e-13,-1.3097
MYLK2,1.4367e-02,2.1331
CSTF2,5.0878e-13,1.1609
MAST3,2.5219e-13,-1.0439
IDUA,1.1584e-05,-0.7636
SH2D3C,3.0936e-14,-3.1692
ZMYM6NB,1.9452e-13,-1.0832
TADA2B,5.8245e-09,-0.6127
BOP1,4.2014e-14,1.7756
C17orf89,4.1828e-12,0.9153
P2RX6,4.9470e-05,-1.7720
CLCF1,1.1437e-03,-0.7487
ENAH,6.6146e-08,1.0754
EPAS1,3.0936e-14,-3.3712
HLX,3.5104e-12,-1.7328
BOLA2B,1.1519e-10,1.1580
HCG27,1.8490e-05,-1.0579
EDEM1,1.2955e-10,-1.0559
NOP16,1.1605e-05,0.8044
MPPED1,4.9879e-06,4.5319
NSDHL,6.3487e-09,0.6648
HDHD3,9.5979e-08,0.6930
ZNF626,1.9326e-06,-1.4188
NEK11,4.8386e-04,-0.7276
NOC2L,3.7859e-11,0.7132
S100A6,8.6083e-05,-0.8620
OSGIN2,4.4912e-06,-0.7467
SP140,1.2464e-08,-1.4357
KIAA1045,3.5722e-04,0.8837
LTB4R,7.3266e-10,1.3256
PRKDC,3.0936e-14,1.4409
COCH,5.3388e-09,2.6436
MYO18B,1.3707e-03,3.3725
HCN3,9.0527e-11,1.0193
AC131097.4,9.5267e-04,5.4828
HOXD10,1.2441e-11,4.5903
SULT4A1,1.0949e-09,2.3430
ZNF175,2.6306e-05,-0.6401
FIG4,3.1763e-13,-1.1843
PDE3B,6.3219e-13,-1.5338
MACF1,3.8969e-10,-1.3319
C22orf43,8.9883e-04,-2.6956
C10orf99,1.5016e-08,11.5959
NUP93,1.6303e-10,0.6146
MASP1,2.2702e-10,-3.2811
C4orf21,2.4798e-12,1.1924
TUBB3,1.4748e-13,3.2946
CIRH1A,4.7753e-08,0.7161
PABPC5,1.0949e-09,-1.8290
GABRQ,5.1481e-09,14.2687
LAMC2,5.2041e-07,1.3155
SEMA4C,1.1873e-06,0.6841
MTUS1,1.0765e-07,-0.8095
ZNF577,9.1480e-09,-0.9798
AC068987.1,6.9234e-09,3.3037
PIFO,6.3219e-13,-3.8007
WFIKKN2,3.8067e-08,-7.9958
PPP1R15A,2.0708e-12,-1.9211
DHRS11,1.8762e-08,0.6541
PPAN,3.1362e-07,0.7514
NSG1,1.2105e-05,1.4854
HAL,1.2385e-04,-1.5404
NCOR2,7.1940e-07,-0.5948
BPIFB2,3.6383e-02,-6.6703
SATB2,9.8969e-06,0.7149
FAM117B,7.5325e-09,1.0398
ANXA4,1.6303e-10,-0.7327
FBXO22,5.9882e-09,0.9454
CHRNA10,2.9817e-07,-1.2750
RTP1,4.8535e-03,3.4419
RHOU,4.3299e-10,-1.8948
PDK1,1.9452e-13,1.8314
CADM2,2.1871e-02,-1.1768
DSG2,4.2014e-14,2.0793
BUB1B,4.2014e-14,4.2290
COX7A1,2.0335e-10,-2.5321
IFT140,2.8969e-11,-1.1146
TOR3A,4.0995e-08,0.6168
MYO19,3.0936e-14,1.7619
SOX8,2.1269e-02,-0.6436
ZFYVE20,1.9452e-13,-0.8934
SMAD1,3.2703e-06,0.6460
SLC25A38,2.2008e-11,-0.5964
ZNF385D,2.1542e-05,-1.4006
TRIM50,6.7434e-07,-5.6775
RNF19A,4.6487e-04,-0.5868
NCAM1,2.5923e-02,-1.1807
C12orf39,2.0335e-10,-3.4521
INPP5K,3.0936e-14,-1.2983
LONRF3,2.5219e-13,-3.4019
BOLA2,3.1721e-09,2.1579
JMJD4,8.0971e-10,0.5944
BTC,3.7669e-09,-1.9116
PDZD9,4.0519e-13,-8.1164
TDRD7,6.9714e-08,-0.6638
PDF,1.8252e-10,0.8814
GPR174,9.5473e-04,-2.3611
PRKG1,1.1014e-13,-1.8247
CEACAM21,7.8227e-13,-2.9439
P2RX3,3.0403e-02,-6.2383
TPI1,3.0936e-14,1.4545
MARS,5.8059e-12,0.7404
RAET1L,3.0936e-14,17.5008
KANK4,1.2737e-03,-1.7375
RNASE3,1.3409e-04,-6.5475
IL6,3.2672e-08,-2.6813
TSKU,8.3894e-14,1.8505
SMIM1,7.5104e-05,-1.1261
TMC8,2.1762e-06,-0.9446
GAL3ST4,9.8392e-05,0.6403
MAGI2,6.3225e-07,-1.0043
GPM6A,3.0936e-14,-8.9801
AL591684.1,5.2407e-03,-6.0480
PROB1,3.8899e-05,0.8687
KIAA1549L,6.3219e-13,3.8117
TIGD1,4.0995e-08,0.9173
MT1E,9.4137e-05,-1.4168
IGF1,2.5366e-03,-1.1006
SPATA22,9.5387e-03,-4.2021
FCHSD2,2.8923e-09,-0.7614
IGF2BP2,1.0198e-10,1.8704
HBA2,5.7021e-14,-5.3342
EFS,1.2441e-11,1.3219
HLA-DPA1,4.2014e-14,-2.4740
XPR1,4.2014e-14,1.2026
LST1,3.0936e-14,-2.6367
AREGB,8.0850e-08,-7.0216
TFDP2,8.0370e-11,1.1753
CCHCR1,7.1148e-11,0.8765
HMBS,1.2955e-10,0.9700
LRRC58,3.3086e-11,0.7518
LY9,4.1274e-04,-1.1276
G3BP1,2.3841e-08,0.5916
PTPN13,2.7633e-04,-0.8531
BRINP1,1.2925e-02,-1.9784
NUTM1,1.4156e-02,2.0182
SNCB,6.3303e-06,8.0281
QSOX1,2.5219e-13,-1.3369
FAM103A1,3.4996e-10,0.6234
HMMR,8.3894e-14,3.2353
STK24,1.6261e-08,0.7171
UPRT,1.0746e-11,-0.8079
BCHE,5.8706e-04,-2.0009
RNF165,6.7845e-06,1.0775
MTMR14,1.4748e-13,-0.9244
AC016586.1,1.1568e-07,-1.8929
PRSS53,9.0022e-05,0.7868
SLC19A2,2.0313e-08,-1.0236
METTL25,2.0491e-06,-0.6103
CRYBB3,2.8611e-07,6.7590
FER1L6,1.4801e-02,1.8061
MCM2,4.2014e-14,3.1820
C1orf131,1.4748e-13,1.0849
RILP,3.0936e-14,-2.0690
ZFP3,8.9243e-09,-0.9766
THOC5,1.6300e-09,0.5897
ANG,4.2014e-14,-2.1310
PSMD2,3.0936e-14,1.4893
NUDT16,1.4284e-06,-0.6942
KIF23,3.0936e-14,3.4526
AFF4,8.1007e-07,-0.6111
ZNF131,3.0936e-14,0.9560
PLCH2,3.4996e-10,2.2922
CNGA1,1.5375e-07,1.1730
GPR135,1.8683e-05,-0.8282
SPATA7,6.6146e-08,-0.7691
PTPRM,3.0936e-14,-2.4579
RP11-162A12.2,7.1148e-11,-1.7838
CTDSP1,2.2588e-08,-0.7436
KRT7,4.3667e-05,-2.9589
AMBP,2.0335e-10,-5.3287
PHACTR3,1.7293e-08,-2.8928
C14orf39,1.0774e-03,2.6121
KIFC1,4.2014e-14,3.4114
FAM171B,3.0512e-05,0.8849
CNTN4,2.0335e-10,-2.4602
NDC80,4.2014e-14,3.8261
ZEB1,3.0936e-14,-1.9436
GOLT1A,8.3894e-14,-4.3216
MT-ND6,1.1014e-13,-2.2725
MEF2D,8.0850e-08,-0.6009
SLC24A3,2.0491e-06,-1.2648
LEF1,6.7434e-07,0.9714
CRIPAK,3.1721e-09,-0.8301
TMPO,2.4798e-12,1.0223
IL4R,2.5028e-05,-0.9620
RIBC1,5.3500e-10,-1.9147
ARNTL2,4.2014e-14,3.1518
TDRD1,3.2703e-06,-13.1831
TRAIP,4.2014e-14,2.1628
RDM1,7.8227e-13,7.4632
RP11-10A14.4,7.5104e-05,1.0215
GYPE,3.0936e-14,-4.5751
RNF217,2.2008e-11,0.9861
EPB41L3,1.9102e-11,-1.8274
AKAP3,5.1180e-03,-0.6003
CTD-2547L24.3,3.0277e-08,-2.3782
CCDC42B,2.2006e-08,-4.2817
KIF20B,8.3894e-14,1.5887
ZNF33B,3.8969e-10,-0.9056
NKIRAS2,6.3487e-09,0.5865
SGMS2,8.3894e-14,-2.5532
CBLC,3.2341e-09,3.6409
NYAP2,6.6050e-10,-6.7271
AC024940.1,1.2245e-02,0.9222
LY6G5C,9.5775e-13,-1.3246
POLR3GL,4.2014e-14,-0.8527
THOP1,8.3894e-14,0.9898
SLC9A2,3.2672e-08,1.8290
C1orf35,1.7262e-12,0.7315
TMEM35,3.8899e-05,-1.6927
DEPDC4,6.2672e-11,1.0592
TDGF1,2.2225e-05,-7.7917
WDR52,9.3775e-06,-1.0838
F8,4.2014e-14,-2.1935
SCIMP,4.2014e-14,-3.1255
ZDHHC13,1.9177e-08,0.9065
MNAT1,6.2672e-11,0.7330
ACTR3,1.9804e-09,0.6336
NUBP1,2.5219e-13,-0.5952
FBXO38,5.7021e-14,-0.8068
ATAD5,3.2341e-09,2.2266
RAP1A,3.0936e-14,-1.0315
TAS2R19,4.3261e-02,2.4944
XAGE1A,1.9219e-02,-8.2411
SPRR1B,5.0878e-13,9.4499
VWA2,1.6690e-05,-1.6411
SIX3,2.7902e-04,2.6483
CLIC2,1.0198e-10,-2.5356
ERVMER34-1,5.8059e-12,2.3357
TCEAL3,8.0370e-11,-0.9128
QRFPR,1.0388e-02,-1.1533
SNRPD2,1.0746e-11,0.8263
RAPGEF4,3.4996e-10,-1.8884
TRIM23,3.8969e-10,-0.7159
GOLGA8T,1.4438e-03,-4.6380
RP11-192H23.4,9.3517e-08,0.8324
CCL7,9.2697e-03,2.8059
KLK13,1.1030e-03,0.6650
FRRS1,2.2008e-11,1.3960
CCDC65,1.0746e-11,-2.6720
SLC5A4,3.0936e-14,-5.3126
ADAMTSL3,6.3219e-13,-3.3796
APOC2,3.7669e-09,-2.3531
HSFX2,3.5279e-02,-1.9953
ZNF208,7.3266e-10,-4.6650
RND1,1.1519e-10,-3.6400
SAPCD2,3.0936e-14,4.3321
FAM214B,3.4583e-06,-0.6043
DPH3,1.4614e-08,-0.7243
NUP62,7.8227e-13,0.8233
MRRF,6.6561e-07,0.6051
MYO1A,8.6975e-07,-1.6439
ZYG11A,3.6228e-09,8.1965
TIMP2,7.7731e-08,-1.3083
MRM1,7.1148e-11,0.9451
SDC3,1.9773e-04,-0.7160
VAMP5,3.0936e-14,-2.0113
SULT1A4,7.8227e-13,-1.6091
AL163636.6,4.2014e-14,-4.8141
ZBTB39,3.0637e-07,0.5952
FAM49A,1.6497e-07,-1.3465
RIMS1,8.1491e-07,-4.2221
TNF,3.4470e-02,-0.9109
SNURF,4.2014e-14,-12.9186
MACC1,3.4468e-09,-1.5099
HHIP,3.0936e-14,-5.9808
RAD54L,4.2014e-14,3.7405
CDS1,2.8077e-05,-0.7358
PTGFRN,6.3219e-13,2.0747
AP000783.1,2.7522e-06,-1.7842
PRKAB2,2.1767e-09,0.6969
MEFV,1.0198e-10,-2.3588
RNASE2,6.5302e-03,-0.7731
TYSND1,3.1479e-10,0.8509
EPHA1,4.8865e-11,1.2349
SLC6A20,3.1763e-13,-5.3455
CD226,8.0370e-11,-1.7299
SIDT2,4.2014e-14,-1.5447
ULK2,6.7434e-07,-0.8561
C5orf34,3.0936e-14,2.2104
LIMCH1,3.0936e-14,-3.6804
ANKDD1B,1.9452e-13,-3.0939
KCNA5,2.9482e-12,-5.4999
FABP7,2.8077e-05,4.8182
CLDN14,2.4387e-04,2.6564
DOCK9,1.6300e-09,-1.2212
ATP1B3,1.6497e-07,1.0526
CD38,1.6678e-04,-1.0412
SPC25,4.2014e-14,3.6531
EFEMP1,4.2014e-14,-2.5288
TMEM200A,1.6678e-04,-0.9856
SHROOM2,4.7358e-05,0.6357
ABHD6,1.4748e-13,-1.4137
STX12,3.0936e-14,-1.4462
HHLA2,3.7859e-11,-3.2785
MCOLN2,1.1605e-05,-1.1072
AKAP11,9.2357e-12,-0.8517
RBM47,2.5331e-10,-1.0268
CENPP,1.2441e-11,1.3752
HSPA4L,9.2357e-12,1.6892
NRIP2,2.1783e-07,-1.0234
SUV39H2,3.0936e-14,1.7275
DMC1,5.3388e-09,1.7458
FGD4,4.2014e-14,-1.5970
PHF6,1.9102e-11,0.8940
C21orf119,2.5211e-05,0.5911
TLDC2,1.3409e-04,-1.0096
DACT3,1.4701e-08,-1.4537
TREH,3.7859e-11,-4.3489
FBXL3,1.1014e-13,-0.8610
IFITM2,3.0936e-14,-1.8255
RAMP2,3.0936e-14,-3.3039
CYP4V2,3.0936e-14,-1.9933
SMAD7,4.2014e-14,-1.7491
CCDC178,1.2612e-06,-7.4614
DAB2IP,4.2797e-07,-0.9220
CHSY3,1.1856e-03,-0.7740
FXR1,3.0936e-14,1.2768
ERO1L,4.2014e-14,1.7999
G6PD,3.9037e-06,0.8390
MFSD2A,4.2014e-14,-2.8588
ACN9,1.6303e-10,1.0330
PLOD1,7.5325e-09,0.9250
TRIM16L,8.9737e-10,1.7385
C7orf41,9.5775e-13,-1.6182
UBASH3A,4.1274e-04,-1.3276
ATP7B,1.3203e-03,-0.7527
RASL10B,9.8969e-06,1.3554
KDM6B,1.0949e-09,-1.1315
GATA5,1.8762e-08,-4.2288
CD300LG,3.0936e-14,-11.9662
LAMB2,3.0936e-14,-1.7316
CLU,3.1479e-10,-1.8118
TMCC3,7.7526e-06,-0.6734
CBX2,4.2014e-14,2.3698
APOBEC3A,1.1915e-02,-0.9549
NFE2L3,2.8376e-07,1.0331
DFNA5,4.8700e-06,0.8956
RNASEH1,3.5104e-12,0.8943
CBX7,3.0936e-14,-1.9805
CDX1,1.2612e-06,2.3891
TSGA10,1.8098e-03,-0.6015
FAM209A,2.5656e-04,-1.9296
RACGAP1,3.2341e-09,2.2356
FOXO1,2.4994e-07,-0.6586
STARD5,1.2464e-08,1.0138
PGM2,1.4314e-12,1.1025
ZFP92,6.5476e-05,-1.1619
CPT1B,2.2702e-10,1.1318
CKMT2,1.1720e-12,-2.5289
RCVRN,1.5073e-05,-6.6562
C1orf123,1.4416e-11,-0.7254
PROK1,3.0876e-03,-5.8419
FGB,9.2906e-03,-6.1947
FEN1,5.7021e-14,2.1674
UBE2E2,2.3841e-08,-0.7832
USHBP1,3.0936e-14,-3.6727
RASL12,4.2014e-14,-2.6606
MRPL9,3.0936e-14,0.7567
KDM5D,7.6679e-04,-0.9309
PLA2G16,8.1491e-07,-2.3277
GATSL2,1.2904e-05,1.3589
FAM180A,9.6989e-09,-2.2305
MAGED1,2.7522e-06,0.5988
ECHDC2,1.7129e-06,-0.9114
TOP2A,4.2014e-14,4.5429
SLC25A24,4.3299e-10,-0.7589
CDHR4,5.1411e-08,-7.1761
AHSP,1.5577e-04,-8.6382
RP11-248J23.6,1.3211e-05,-10.4824
VIL1,2.4994e-07,1.0780
SLC6A13,4.2014e-14,-4.4362
CHN2,7.5736e-06,-1.4061
FIBIN,6.6050e-10,-2.1833
AC008948.1,1.1720e-12,-3.5840
C5orf22,3.5104e-12,0.8705
DNM1L,3.4996e-10,0.7023
CPOX,5.7021e-14,1.1840
PMP22,3.0936e-14,-1.8963
CHADL,1.1013e-05,-1.0902
PAK6,1.9102e-11,1.5136
ZNF486,1.9388e-03,-1.1602
IGFBP7,1.5961e-08,-1.3050
PARP1,5.7021e-14,1.0780
DIO3,2.1507e-04,-2.4746
MFAP3L,4.7191e-05,-1.1356
ARHGEF6,3.0936e-14,-2.3798
PAQR8,3.1763e-13,-1.5485
C6orf211,2.8252e-10,-0.6298
TMEM64,2.4465e-06,-0.7769
NECAP2,4.2926e-09,-0.7660
CCDC163P,7.8623e-05,0.5937
HNF4A,9.5257e-03,-3.0475
ACADS,1.4416e-11,-0.9196
ZZEF1,1.0949e-09,-0.7755
SORCS2,2.7522e-06,-1.9326
TMEM255A,7.0934e-04,-1.4215
MAGIX,6.3225e-07,-1.0404
FKBP4,3.0936e-14,1.7854
EFTUD2,8.3894e-14,0.8331
CD80,1.2100e-09,-1.6494
GAS2,9.2644e-07,-2.5310
MYL6,2.5219e-13,-0.9306
ZNF438,8.3894e-14,-1.1451
FABP3,8.3894e-14,-2.1449
ADCY10,8.1106e-06,2.7200
HLA-E,3.0936e-14,-1.9792
MEI1,2.1871e-02,-0.7738
TLN1,1.5961e-08,-0.9647
CCDC42,3.8067e-08,-7.4414
PPIH,1.7262e-12,0.7976
SAT2,5.9463e-10,-0.9579
PLK4,3.0936e-14,2.4770
CSNK1G1,1.4314e-12,0.6194
AC011897.1,2.6296e-09,1.5736
FAM13B,4.2014e-14,-1.1695
ITGA10,1.8252e-10,-2.6212
MSH2,1.4748e-13,1.1967
CHAF1A,8.3894e-14,1.8047
IL7R,7.8227e-13,-2.5429
RAC2,1.4284e-06,-1.0391
TGFA,1.0198e-10,1.5066
OR1L8,2.5331e-10,-11.1936
MNX1,1.0580e-05,3.7348
AQP5,9.3517e-08,-4.0151
SCN5A,2.6764e-07,2.6609
FLJ20306,4.2942e-04,1.0768
NCKAP5,4.0519e-13,-3.1452
FAM90A1,7.5736e-06,1.0216
BCL2L12,3.0936e-14,1.4255
ZDHHC15,1.4284e-06,-2.2277
VNN2,1.4748e-13,-2.3995
KANK3,3.0936e-14,-4.0004
TRMT5,1.6672e-11,0.8182
CHAC1,4.5702e-07,1.1185
KRR1,8.3894e-14,0.9390
YEATS2,8.3894e-14,1.3143
PREX2,3.0936e-14,-3.4707
LOXL1,1.7293e-08,1.1498
CEACAM6,8.1994e-09,-3.5173
ITPR2,3.2045e-05,-0.7740
OAS2,8.4969e-03,-0.6790
CALHM2,4.8865e-11,-1.2229
CCDC153,5.0694e-08,-1.9966
ANKRD37,4.1060e-06,-0.9435
ISL2,1.0765e-07,1.7565
RYK,2.6891e-07,0.5896
NUTM2D,3.5104e-12,-1.1991
ZWINT,4.2014e-14,2.9975
KRT13,5.9463e-10,3.9736
HAPLN3,3.2703e-06,1.0216
C16orf54,8.3894e-14,-2.6550
EME1,3.0936e-14,2.9572
CXCR1,7.9695e-12,-3.5294
NOTCH4,3.0936e-14,-2.3931
DNM3,8.0971e-10,-2.0119
CNOT8,1.4748e-13,-0.8383
KIR3DX1,3.1913e-08,-9.8109
MYOM2,2.1767e-09,-1.6392
ERVFRD-1,2.5331e-10,-6.0852
FRY,3.0936e-14,-3.2558
CYP3A7,4.3060e-11,-4.0958
ITIH4,2.0313e-08,-1.3393
FPGT-TNNI3K,2.5436e-04,-1.7089
AIMP2,6.6146e-08,0.8357
HIST1H3G,1.6741e-08,14.4511
RIPK3,3.0936e-14,-1.3436
EXOC3L4,2.1507e-04,-1.2412
RBMS2,5.7021e-14,-1.7339
ESCO1,1.0746e-11,0.6012
PPP1R42,7.6997e-07,-10.7797
